id,created_at,title,description,slug,is_active,brand_id
1,2024-08-26 10:30:00+00,Tuzlu Yulaf Kapları,Kahvaltı veya atıştırmalık için hazır tuzlu yulaf.,tuzlu-yulaf-kaplarim,true,10
2,2024-11-14 14:20:00+00,İki Renkli Rüzgarlık,Aktif günler için şık iki renkli rüzgarlık.,iki-renkli-ruzgarlik,true,5
3,2025-01-09 09:15:00+00,Araç Kurtarma Aleti,Arabada acil durumlar için çok fonksiyonlu alet.,arac-kurtarma-aleti,false,1
4,2025-03-27 16:45:00+00,Fitness Akıllı Saat,Fitness takibi için çok fonksiyonlu akıllı saat.,fitness-akilli-saat,true,15
5,2024-12-15 11:30:00+00,Sarımsaklı Naan Ekmeği,"Sarımsak aromalı yumuşak ve lezzetli pide, soslamak için mükemmel.",sarimsaki-naan-ekmegi,true,10
6,2025-11-25 13:45:00+00,Güvenlik Gözlükleri,DIY ve inşaat işleri için koruyucu gözlük.,guvenlik-gozlukleri,false,7
7,2025-05-14 15:20:00+00,Zencefilli Kurabiye Evi Seti,Şenlikli zencefilli kurabiye evi yapmak için ihtiyacınız olan her şey.,zencefilli-kurabiye-evi-seti,true,10
8,2025-11-19 12:10:00+00,Duvara Monte Kitap Rafı,En sevdiğiniz kitapları sergilemek için asma kitap rafı.,duvara-monte-kitap-rafi,true,4
9,2025-02-14 14:30:00+00,Yeniden Kullanılabilir Atıştırmalık Poşetleri,Atıştırmalıklar için çevre dostu yeniden kullanılabilir poşetler.,yeniden-kullanilabilir-atistirmalik-posetleri,true,6
10,2025-12-12 10:45:00+00,Oversize Kot Gömlek,Katmanlama için mükemmel trendy oversize kot gömlek.,oversize-kot-gomlek,false,5
12,2025-10-20 11:20:00+00,Acılı Peynir Dilimleri,"Sandviçler için mükemmel, baharatlı kremalı peynir.",acili-peynir-dilimleri,true,10
13,2025-04-22 13:55:00+00,Aktif Yarış Sırtı Atleti,Antrenmanlar için hafif ve nem alıcı yarış sırtı atleti.,aktif-yaris-sirti-atleti,true,15
